,Cost of haircut,Aproval,People per square mile,Education
mean,19.274509803921568,49.96078431372549,200.15686274509804,1358.0196078431372
median,19.0,50.0,105.0,1500.0
variance,18.081507112648982,74.3514033064206,73665.85774702037,106138.5290272971
standard deviation,4.294547386500929,8.708526360558887,274.11525842601463,329.03084902155155
skewness,-0.009043870826068926,0.21317813623729306,-0.007361766172214446,-0.02628093129733885
kurtosis,533.5629761532404,158.23625544283829,422.9329293993371,241.63845389704514
